,Yt.1M,Industry,MR,TRC,BAB,EV,P/B,PSR,ROA,C/A,D/A,PG,AG,cluster
127,0.2213,M2328 ¹q¤l¹s²Õ¥ó,0.1995,-0.0867,0.8951,13305431687.0,1.78,6.1986,2.15,0.2787,37.49,5.5216,0.0921,0
128,-0.0651,M1500 ¹q¾÷¾÷±ñ,0.0905,0.3426,0.6032,7646064804.0,1.5,8.0626,0.48,0.1167,47.71,-0.7084,-0.0622,3
129,-0.1071,M2200 ¨T¨®¤u·~,1.9766,6.7288,0.4685,5177056208.0,1.53,10.4405,0.28,0.1533,59.49,-0.5416,0.068,3
130,0.0212,M1500 ¹q¾÷¾÷±ñ,0.0543,-0.319,0.6234,5844612993.0,2.8,23.0068,1.04,0.2028,41.9,-0.0362,-0.0339,3
131,-0.0802,M3700 ¹B°Ê¥ð¶¢,0.0297,-0.0362,0.3762,5572358085.0,1.09,3.1529,0.41,0.0941,56.11,1.2907,-0.0406,1
132,0.1432,M1600 ¹q¾¹¹qÆl,0.19,0.6259,0.6953,7966438267.0,1.28,7.7389,1.09,0.0094,35.24,0.6082,0.0771,1
133,-0.0467,M1600 ¹q¾¹¹qÆl,0.0962,0.9995,0.2528,11449160000.0,1.43,4.6101,1.54,0.0466,48.32,0.2211,0.1424,1
134,0.0319,M1600 ¹q¾¹¹qÆl,0.0142,1.2818,0.7168,140013434017.0,1.07,3.4537,0.48,0.0463,42.98,-0.5855,0.0407,1
135,0.0554,M1600 ¹q¾¹¹qÆl,0.8305,1.1096,1.0202,23328271014.0,2.37,8.8994,2.24,0.011,34.24,-0.1842,0.0005,1
136,0.0537,M1600 ¹q¾¹¹qÆl,0.478,1.1029,0.5898,37575441596.0,2.15,5.5733,0.99,0.1221,64.55,-0.8633,0.1316,1
137,0.0059,M1600 ¹q¾¹¹qÆl,0.0836,1.232,0.6272,5220186080.0,1.24,18.3849,1.09,0.1742,19.5,0.4382,0.0161,1
138,0.0128,M1600 ¹q¾¹¹qÆl,0.4789,2.4222,1.062,11575831755.0,1.24,7.9413,2.14,0.2396,10.11,0.1633,0.0585,1
139,-0.0631,M1600 ¹q¾¹¹qÆl,0.2346,8.0012,-0.0579,12372381195.0,2.02,9.8459,0.26,0.0095,24.4,-0.6478,0.008,1
140,0.0581,M1600 ¹q¾¹¹qÆl,0.3759,1.3261,1.086,10720513004.0,2.96,8.2329,3.52,0.023,35.38,0.6311,0.2362,1
141,0.0119,M1600 ¹q¾¹¹qÆl,0.786,0.1203,0.3358,4852334421.0,2.1,4.799,0.95,0.115,45.3,0.5952,0.0736,1
142,0.1337,M1600 ¹q¾¹¹qÆl,0.4573,5.13,-0.7589,3999750201.0,1.43,5.8174,0.64,0.2262,37.74,-0.196,-0.0205,1
143,0.1558,M1600 ¹q¾¹¹qÆl,0.6993,0.8822,-0.2572,9842309053.0,1.32,9.9169,1.86,0.0245,19.74,1.2137,0.2939,1
144,-0.0807,M1200 ­¹«~¤u·~,0.2703,0.3054,0.2955,18573525912.0,1.73,3.3181,1.52,0.3191,58.86,1.7101,0.0092,1
145,0.0189,M1722 ¥Í§ÞÂåÀø,0.0359,-0.3045,0.3425,22061802686.0,2.29,9.3979,2.5,0.3104,22.78,-0.0783,0.0341,0
146,0.014,M1721 ¤Æ¾Ç¤u·~,0.1,1.725,0.2311,8252786220.0,1.21,5.7343,1.84,0.133,53.74,2.4786,0.0524,1
147,0.0224,M1721 ¤Æ¾Ç¤u·~,-0.0244,-0.2878,0.2383,9301817304.0,1.13,3.6534,1.56,0.036,34.76,0.9613,0.0334,1
148,-0.0339,M1721 ¤Æ¾Ç¤u·~,-0.0665,-0.2759,0.5147,15363316171.0,1.32,2.9803,0.05,0.0499,54.83,-0.963,-0.0715,1
149,-0.0403,M1721 ¤Æ¾Ç¤u·~,0.0447,-0.7194,0.4538,10786610711.0,1.3,5.6784,0.38,0.1173,33.35,-0.1806,-0.0131,1
150,0.0143,M1721 ¤Æ¾Ç¤u·~,0.156,-0.4837,0.1429,16570014903.0,2.12,3.3076,2.25,0.1461,51.33,0.0582,-0.0085,1
151,0.0788,M1721 ¤Æ¾Ç¤u·~,0.1574,0.8094,0.4206,7209015432.0,2.46,61.8295,2.03,0.0462,5.04,-0.3127,0.0799,1
152,0.0132,M1721 ¤Æ¾Ç¤u·~,0.1086,0.6443,0.1912,9640617687.0,0.7,2.0921,1.57,0.3137,27.71,1.0279,0.0085,1
153,-0.0161,M1721 ¤Æ¾Ç¤u·~,0.1007,-0.5053,0.5312,36585143247.0,1.45,3.651,0.92,0.0976,56.74,2.2602,0.0369,1
