Yt.3M,Yt.2M,Yt.1M,Code,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
-0.0271,0.2171,0.0736,3057 喬鼎,M2325 電腦及週邊,0.0078,0.3395,7,-0.552,0.1566,9,-0.4972,0.1752,9,0.7693,0.195,9,"1,195,554,817",0.9759,1,1.56,0.5674,5,8.514,0.4775,6,-0.92,0.1183,9,-0.46,0.1051,9,0.3214,0.8894,2,36.77,0.6418,4,0.6203,0.6134,4,-0.1006,0.0635,10
-0.2271,-0.0749,0.0121,3058 立德,M2328 電子零組件,0.0303,0.4206,6,-0.267,0.3516,7,-0.27,0.356,7,0.4629,0.4907,6,"4,115,144,692",0.7722,3,2.2,0.3582,7,5.4018,0.6747,4,-5.75,0.0208,10,-2.11,0.0329,10,0.1762,0.598,5,56.03,0.2782,8,-11.5774,0.0099,10,0.1208,0.805,2
-0.1512,0.022,-0.0146,3059 華晶科,M2326 光電業,0.1333,0.6824,4,1.0012,0.8018,3,0.8606,0.8028,2,0.4078,0.5509,5,"11,789,513,560",0.4535,6,1.12,0.7766,3,7.3692,0.5389,5,1.1,0.3812,7,0.74,0.4206,6,0.2611,0.8007,3,38.02,0.6177,4,0.1515,0.4392,6,-0.093,0.0778,10
-0.1256,0.0202,0.0142,3060 銘異,M2325 電腦及週邊,0.5379,0.9573,1,7.9495,0.9726,1,5.9819,0.9671,1,1.3069,0.0285,10,"4,157,641,073",0.7656,3,1.11,0.7853,3,5.3378,0.6813,4,0.54,0.287,8,0.39,0.3122,7,0.1477,0.5016,6,40.11,0.5783,5,1.1282,0.7284,3,0.0078,0.3866,7
0.2959,0.3434,0.1123,3062 建漢,M2327 通信網路業,0.1368,0.69,4,-0.6744,0.0778,10,-0.6577,0.0723,10,0.5946,0.3264,7,"7,547,593,051",0.5882,5,1.69,0.5192,5,11.374,0.3593,7,-0.03,0.1939,9,0.1,0.1972,9,0.269,0.8226,2,31.57,0.7317,3,0.987,0.6988,4,-0.0258,0.2421,8
-0.0123,-0.006,0.03,3090 日電貿,M2328 電子零組件,0.1239,0.6484,4,0.7017,0.7448,3,0.5989,0.7459,3,0.4209,0.5411,5,"13,373,338,682",0.4184,6,2.15,0.3757,7,4.6848,0.7317,3,4.33,0.8215,2,2.96,0.8905,2,0.1777,0.6068,4,38.76,0.609,4,0.7211,0.6418,4,0.0231,0.4502,6
-0.1583,-0.0274,-0.0259,3092 鴻碩,M2328 電子零組件,-0.0325,0.2212,8,0.6115,0.7262,3,0.5077,0.724,3,0.3297,0.6473,4,"3,489,578,983",0.8116,2,1.57,0.563,5,7.7564,0.5115,5,-0.44,0.1512,9,-0.01,0.1698,9,0.1621,0.5564,5,59.66,0.2092,8,0.8793,0.6802,4,-0.0074,0.3089,7
-0.0013,0.1749,-0.0063,3094 聯傑,M2324 半導體,-0.1208,0.0811,10,-0.6615,0.0865,10,-0.6275,0.0898,10,0.5342,0.3954,7,"2,551,187,618",0.874,2,2.8,0.2333,8,69.0911,0.0416,10,0.18,0.2289,8,0.17,0.2245,8,0.6065,0.9923,1,14.24,0.9376,1,-0.8767,0.103,10,-0.0431,0.184,9
0.0156,0.0177,-0.031,3130 一零四,M3600 數位雲端,0.015,0.3636,7,-0.1532,0.4294,6,-0.1884,0.4096,6,0.2183,0.7864,3,"7,441,291,878",0.5947,5,4.31,0.1073,9,13.2231,0.3111,7,5.29,0.8992,2,2.57,0.8401,2,0.3766,0.9321,1,50.58,0.3735,7,-0.0476,0.3045,7,0.0863,0.7196,3
-0.1237,0.0508,0.0156,3138 耀登,M2327 通信網路業,-0.0827,0.1238,9,-0.4283,0.2223,8,-0.4059,0.2344,8,0.4475,0.5104,5,"6,290,571,331",0.644,4,3.33,0.1676,9,17.1252,0.2245,8,0.84,0.3363,7,0.55,0.3669,7,0.4177,0.954,1,41.21,0.5586,5,-0.6876,0.1281,9,0.1331,0.8226,2
