,Industry,MR,MR.PR,MR.Decile,TVC,TVC.PR,TVC.Decile,TRC,TRC.PR,TRC.Decile,BAB,BAB.PR,BAB.Decile,EV,EV.PR,EV.Decile,P/B,P/B.PR,P/B.Decile,PSR,PSR.PR,PSR.Decile,ROE,ROE.PR,ROE.Decile,ROA,ROA.PR,ROA.Decile,C/A,C/A.PR,C/A.Decile,D/A,D/A.PR,D/A.Decile,PG,PG.PR,PG.Decile,AG,AG.PR,AG.Decile
411,22,0.0562,0.4907,6,1.8698,0.8598,2,1.9351,0.8861,2,0.5416,0.3888,7,34813770766.0,0.2147,8,1.01,0.8379,2,7.7627,0.5104,5,1.84,0.5027,6,1.4,0.6177,4,0.1415,0.4743,6,25.15,0.8171,2,0.2629,0.4863,6,0.0805,0.6955,4
815,16,-0.0907,0.1139,9,-0.3935,0.2629,8,-0.3548,0.2804,8,0.5162,0.4239,6,3668317515.0,0.7963,3,2.54,0.2738,8,12.0417,0.3406,7,1.51,0.4458,6,1.22,0.5641,5,0.173,0.5893,5,21.99,0.8642,2,-0.3974,0.1742,9,-0.0571,0.1457,9
359,20,0.1913,0.7711,3,-0.0619,0.4841,6,-0.0936,0.471,6,0.2449,0.7503,3,149514426309.0,0.0723,10,0.89,0.8916,2,40.8587,0.0701,10,2.82,0.6627,4,1.91,0.7371,3,0.1277,0.4261,6,34.63,0.6889,4,4.1773,0.9244,1,0.0502,0.5619,5
259,13,-0.1605,0.0515,10,-0.6908,0.0712,10,-0.6494,0.0756,10,1.0485,0.08,10,48126547899.0,0.1698,9,3.29,0.172,9,11.5245,0.3549,7,4.47,0.8346,2,2.67,0.8499,2,0.2223,0.7207,3,42.51,0.529,5,1.7785,0.8193,2,0.1895,0.8883,2
628,3,-0.1205,0.0832,10,0.1876,0.6057,4,0.2833,0.667,4,0.2492,0.7437,3,2961413946.0,0.8456,2,1.14,0.7612,3,11.0934,0.368,7,-0.01,0.1961,9,0.15,0.2136,8,0.118,0.4053,6,43.67,0.5071,5,-1.0169,0.0843,10,-0.0204,0.2651,8
633,28,0.1538,0.7152,3,-0.2719,0.3483,7,-0.2988,0.3286,7,0.5757,0.3516,7,18242977072.0,0.3439,7,2.03,0.4162,6,9.6017,0.4239,6,4.69,0.8587,2,3.04,0.8981,2,0.3973,0.9441,1,35.88,0.6572,4,0.1967,0.4567,6,0.0004,0.3494,7
283,14,-0.1657,0.0427,10,-0.6509,0.0931,10,-0.6048,0.1084,9,0.8796,0.1303,9,2637850030.0,0.8653,2,5.82,0.046,10,10.4608,0.391,7,6.31,0.9376,1,2.31,0.7996,3,0.2701,0.8237,2,66.22,0.1468,9,0.5081,0.5706,5,0.1161,0.7952,3
377,12,-0.0523,0.1785,9,1.166,0.8204,2,1.183,0.8368,2,0.5513,0.3812,7,6561223529.0,0.6298,4,2.99,0.2048,8,7.8013,0.506,5,3.05,0.6878,4,1.74,0.7076,3,0.1923,0.644,4,46.08,0.4545,6,0.3612,0.5192,5,0.0061,0.379,7
385,31,0.2065,0.7886,3,3.3904,0.9222,1,2.9506,0.931,1,0.3063,0.6791,4,7381437499.0,0.5969,5,0.53,0.9945,1,1.1426,0.9748,1,2.8,0.6605,4,1.46,0.6375,4,0.1044,0.3625,7,50.98,0.3669,7,31.4851,0.9945,1,0.5004,0.9803,1
225,11,-0.0136,0.2749,8,-0.2292,0.3855,7,-0.2295,0.3834,7,0.3163,0.6681,4,17823678613.0,0.3494,7,0.5,0.9956,1,4.0295,0.7755,3,-0.7,0.1369,9,-0.16,0.1479,9,0.1369,0.46,6,39.49,0.5936,5,-12.492,0.0088,10,0.0284,0.4732,6
